price,bedrooms,bathrooms,sqft_living,floors,view,sqft_above,sqft_basement,street,city,statezip
313000.0,3.0,1.5,1340,1.5,0,1340,0,18810 Densmore Ave N,Shoreline,WA 98133
342000.0,3.0,2.0,1930,1.0,0,1930,0,26206-26214 143rd Ave SE,Kent,WA 98042
420000.0,3.0,2.25,2000,1.0,0,1000,1000,857 170th Pl NE,Bellevue,WA 98008
550000.0,4.0,2.5,1940,1.0,0,1140,800,9105 170th Ave NE,Redmond,WA 98052
490000.0,2.0,1.0,880,1.0,0,880,0,522 NE 88th St,Seattle,WA 98115
335000.0,2.0,2.0,1350,1.0,0,1350,0,2616 174th Ave NE,Redmond,WA 98052
482000.0,4.0,2.5,2710,2.0,0,2710,0,23762 SE 253rd Pl,Maple Valley,WA 98038
452500.0,3.0,2.5,2430,1.0,0,1570,860,46611-46625 SE 129th St,North Bend,WA 98045
640000.0,4.0,2.0,1520,1.5,0,1520,0,6811 55th Ave NE,Seattle,WA 98115
463000.0,3.0,1.75,1710,1.0,0,1710,0,Burke-Gilman Trail,Lake Forest Park,WA 98155
1400000.0,4.0,2.5,2920,1.5,0,1910,1010,3838-4098 44th Ave NE,Seattle,WA 98105
588500.0,3.0,1.75,2330,1.0,0,1970,360,1833 220th Pl NE,Sammamish,WA 98074
365000.0,3.0,1.0,1090,1.0,0,1090,0,2504 SW Portland Ct,Seattle,WA 98106
1200000.0,5.0,2.75,2910,1.5,0,2910,0,3534 46th Ave NE,Seattle,WA 98105
242500.0,3.0,1.5,1200,1.0,0,1200,0,14034 SE 201st St,Kent,WA 98042
419000.0,3.0,1.5,1570,1.0,0,1570,0,15424 SE 9th St,Bellevue,WA 98007
367500.0,4.0,3.0,3110,2.0,0,3110,0,11224 SE 306th Pl,Auburn,WA 98092
257950.0,3.0,1.75,1370,1.0,0,1370,0,1605 S 245th Pl,Des Moines,WA 98198
275000.0,3.0,1.5,1180,1.0,0,1180,0,12425 415th Ave SE,North Bend,WA 98045
750000.0,3.0,1.75,2240,2.0,0,1550,690,3225 NE 92nd St,Seattle,WA 98115
435000.0,4.0,1.0,1450,1.0,0,1450,0,3922 154th Ave SE,Bellevue,WA 98006
626000.0,3.0,2.25,1750,2.5,0,1470,280,3140 Franklin Ave E,Seattle,WA 98102
612500.0,4.0,2.5,2730,2.0,0,2730,0,10212 NE 156th Pl,Bothell,WA 98011
495000.0,4.0,1.75,1600,1.0,0,1130,470,2021 NE 100th St,Seattle,WA 98125
285000.0,3.0,2.5,2090,1.0,0,1360,730,27736 23rd Avenue South,Federal Way,WA 98003
615000.0,3.0,1.75,2360,1.0,0,1360,1000,8436-8438 41st Ave SW,Seattle,WA 98136
698000.0,4.0,2.25,2200,1.5,0,1300,900,1036 4th St,Kirkland,WA 98033
675000.0,5.0,2.5,2820,2.0,0,2820,0,23525 SE 32nd Way,Issaquah,WA 98029
790000.0,3.0,2.5,2600,1.0,0,1700,900,3314 NW 75th St,Seattle,WA 98117
382500.0,4.0,1.75,1560,1.0,0,1560,0,14104 119th Ave NE,Kirkland,WA 98034
499950.0,4.0,2.5,2860,2.0,0,2190,670,20120 137th Ave NE,Woodinville,WA 98072
650000.0,4.0,2.0,1820,1.5,1,1640,180,7201-7399 55th Ave NE,Seattle,WA 98115
625000.0,4.0,2.5,2820,2.0,0,2820,0,17052 4th Ave NE,Shoreline,WA 98155
